"word","definition","synonyms","example"
"premise","n. an unproven idea which is the basis for research","assumption, postulate, presumption, presupposition","His theory was based on the premise that animals could be taught to read."
"prevalent","adj. common in many areas","conventional","Colds are most prevalent during the winter months."
"probe","v. a careful study to discover information","delving","The detective began to probe through the dark house with a flashlight."
"prolific","adj. abundant or productive","fat","He was such a prolific writer that he was able to complete the novel in three weeks."
"prosecute","v. to seek punishment for breaking the law","","The banker was prosecuted for stealing money from his own bank."
"recede","v. to go back to a previuos state","abate, de-escalate, decline, decrease","The water slowly began to recede to its normal level."
"receptive","adj. open to new ideas","broad-minded","He was not receptive to new ideas."
"recluse","n. one who wishes to live alone","anchorite","The old recluse lived deep in the woods"
"revenue","n. money collected from taxes or by a business","earnings","The government receives the revenue needed to operate by taxing people and companies."
"sagacity","n. wisdom or great knowledge","discernment","Through long years of experience and study, the old man had acquired a sagacity about the ways of men."
"senility","n. mental condition of confusion caused by old age","","Everyone reaches a stage of senility if they live long enough."
"skeptical","adj. unbelieving","disbelieving","We should always be skeptical when someone tells us they know an easy way to make money."
"sleazy","adj. of low quality","bad, bum, cheap, cheesy","The hotel room was so sleazy that not even rats wanted t be there."
"sporadic","adj. occuring at odd intervals","casual, choppy, discontinuous, erratic","At sporadic times, the sky was lit by flashes of lightning."
"spurn","v. to reject","decline","She would never forget how her husband had spurned her for another woman."
"stagnant","adj. not flowing or moving","","Mosquitoes will breed in stagnant water."
"subordinate","v. to put under control of higher power","inferior","They were surprised to hear that tha company subordinated him under a newer employee."
"supercede","v. to take the place of","","Judy superceded Beatrice as the president of the Woman's Club."
"surmise","v. to assume","conjecture","They surmised the class professor would be harsh by the stern look on his face."
"tactile","adj. related to the sense of touch","","The curators of the state museum were pleased that the tactile activities delighted the children who visited it."
"tailor","v. to design to fit particular needs","acclimate","The passengers had such a good time that they swore the trip was tailored just for them."
"tangible","adj. toucahble or real","palpable","Marissa insisted on some tangible evidence from the victim before she could accuse the susppect."
"tentative","adj. temporary or uncertain","conditional","A tentative schedule was set up for the employees until the new business was fully operational."
"tenuous","adj. vague or weak","","She felt her husbands tenuous grasp of their marital problems would lead them to divorce."
"terse","adj. short or brief","aphoristic","She abruptly hung up the phone after Kurt's terse reply."
"tract","n. an area or region","belt, land, part(s), region","City officials plan to turn the tract along the river into a park."
"transact","v. to engage in or to accomplish","","Simon hated the daily routine of transacting with business leaders, so he quit and became a sculptor."
"transcribe","v. to write down what is spoken","","Fortunately,many of the poet's last words were transcribed by his wife."
"traverse","v. to cross","cover","Because the bridge was traversed by so many people traveling in the city, it was finally closed for repairs."
"trivial","adj. unimportant","frivolous","He thought his complaints were trivial and left the room."
"tumult","n. chaos or upheaval","ado, bluster, bother, bustle","The sudden cancellation of the concert caused such tumult in the crowd that police were called."
"vacillate","v. to hesitate or to waver","falter","He impatiently drummed his finger on the table as his son vacillated between ordering french fries or a hamburger."
"venture","v. too gamble or risk","chance","He refused to support his son's latest business venture."
